NumRegions:2
RegionID:-1
Center:0.597,1.142,-0.495
Normal:-0.367,-0.926,-0.085
NumPatches:9
0.630, 1.141, -0.624
0.519, 1.184, -0.617
0.509, 1.172, -0.444
0.511, 1.164, -0.369
0.541, 1.146, -0.300
0.603, 1.122, -0.302
0.674, 1.108, -0.455
0.710, 1.101, -0.541
0.678, 1.122, -0.625
RegionID:-1
Center:-2.098,2.743,-0.136
Normal:-0.282,0.955,-0.095
NumPatches:15
-1.750, 2.922, 0.626
-2.177, 2.781, 0.473
-2.593, 2.642, 0.308
-3.027, 2.491, 0.078
-3.495, 2.327, -0.174
-3.808, 2.212, -0.402
-3.773, 2.201, -0.616
-3.531, 2.233, -1.017
-1.126, 2.951, -0.930
-1.051, 2.973, -0.926
-1.000, 3.068, -0.125
-1.039, 3.077, 0.073
-1.097, 3.080, 0.274
-1.225, 3.075, 0.607
-1.311, 3.067, 0.780
