NumRegions:4
RegionID:-1
Center:-6.158,4.824,-1.531
Normal:-21.838,30.390,-4.045
NumPatches:37
-6.833, 4.433, -1.176
-6.755, 4.502, -1.171
-6.758, 4.408, -1.578
-6.668, 4.564, -1.165
-6.584, 4.626, -1.159
-6.597, 4.537, -1.566
-6.432, 4.537, -1.954
-6.445, 4.424, -2.359
-6.407, 4.642, -1.547
-6.489, 4.680, -1.151
-6.404, 4.741, -1.145
-6.319, 4.802, -1.140
-6.332, 4.707, -1.543
-6.346, 4.595, -1.945
-6.200, 4.603, -2.331
-6.287, 4.548, -2.342
-6.175, 4.711, -1.930
-6.240, 4.758, -1.534
-6.229, 4.858, -1.134
-6.144, 4.917, -1.129
-6.160, 4.839, -1.528
-6.066, 4.890, -1.523
-6.061, 4.977, -1.126
-5.978, 5.035, -1.123
-5.985, 4.948, -1.518
-6.013, 4.831, -1.917
-5.904, 5.004, -1.512
-5.898, 5.094, -1.121
-5.826, 5.159, -1.120
-5.737, 5.208, -1.115
-5.750, 5.121, -1.505
-5.776, 5.008, -1.896
-5.848, 4.945, -1.901
-5.702, 5.068, -1.892
-5.618, 5.119, -1.884
-5.533, 5.169, -1.876
-5.661, 5.268, -1.114
RegionID:-1
Center:-4.708,6.008,-0.739
Normal:-15.062,20.607,-3.517
NumPatches:26
-5.542, 5.537, -0.354
-5.450, 5.580, -0.352
-5.364, 5.629, -0.350
-5.295, 5.695, -0.350
-5.218, 5.753, -0.349
-5.101, 5.757, -0.730
-5.019, 5.806, -0.728
-4.944, 5.864, -0.727
-4.965, 5.742, -1.105
-4.868, 5.919, -0.726
-4.786, 5.968, -0.724
-4.805, 5.845, -1.103
-4.694, 6.031, -0.719
-4.606, 6.075, -0.722
-4.644, 5.949, -1.101
-4.592, 5.913, -1.472
-4.531, 6.130, -0.722
-4.457, 6.188, -0.723
-4.485, 6.053, -1.098
-4.377, 6.237, -0.722
-4.304, 6.294, -0.723
-4.225, 6.345, -0.723
-4.146, 6.396, -0.723
-4.074, 6.456, -0.724
-3.994, 6.505, -0.724
-3.913, 6.553, -0.724
RegionID:-1
Center:-0.599,3.649,0.646
Normal:19.444,15.651,6.447
NumPatches:23
-0.423, 3.435, 0.628
-0.473, 3.486, 0.638
-0.542, 3.640, 0.472
-0.622, 3.826, 0.305
-0.666, 3.794, 0.494
-0.729, 3.868, 0.506
-0.778, 3.861, 0.710
-0.819, 3.822, 0.908
-0.754, 3.738, 0.889
-0.694, 3.679, 0.875
-0.615, 3.507, 1.021
-0.560, 3.451, 1.003
-0.634, 3.611, 0.859
-0.713, 3.775, 0.694
-0.506, 3.387, 0.983
-0.455, 3.332, 0.965
-0.518, 3.472, 0.822
-0.526, 3.541, 0.649
-0.606, 3.738, 0.485
-0.562, 3.758, 0.299
-0.503, 3.677, 0.293
-0.560, 3.855, 0.065
-0.503, 3.793, 0.065
RegionID:-1
Center:0.104,2.815,0.686
Normal:30.598,22.445,12.906
NumPatches:34
-0.126, 3.179, 0.575
-0.085, 3.080, 0.717
-0.122, 3.047, 0.873
-0.084, 3.008, 0.863
-0.046, 2.965, 0.851
-0.009, 2.923, 0.841
-0.047, 3.041, 0.708
-0.007, 3.053, 0.551
-0.046, 3.095, 0.559
0.030, 3.009, 0.542
0.067, 2.962, 0.533
0.104, 2.922, 0.525
0.139, 2.867, 0.515
0.175, 2.776, 0.648
0.166, 2.687, 0.778
0.133, 2.602, 0.897
0.104, 2.713, 0.934
0.063, 2.833, 0.819
0.027, 2.879, 0.830
0.071, 2.755, 0.948
0.163, 2.545, 0.878
0.188, 2.515, 0.877
0.221, 2.546, 0.738
0.205, 2.720, 0.637
0.175, 2.841, 0.512
0.177, 2.902, 0.377
0.227, 2.607, 0.613
0.249, 2.514, 0.729
0.277, 2.479, 0.720
0.254, 2.552, 0.602
0.242, 2.777, 0.503
0.244, 2.828, 0.369
0.282, 2.521, 0.596
0.289, 2.579, 0.473
