0, 0.4810, 0.0914, 1.1878, -0.0322, 0.5355, 0.0295, 0.8434
1, 0.6695, -0.0069, 1.2089, -0.0329, 0.5485, 0.0400, 0.8346
2, 0.7723, -0.0440, 1.2337, -0.0218, 0.5400, 0.0267, 0.8410
3, 0.8279, -0.0380, 1.2411, -0.0188, 0.5431, 0.0228, 0.8391
4, 0.8844, 0.0048, 1.2381, -0.0098, 0.5326, 0.0115, 0.8462
5, 0.9510, 0.0979, 1.2286, -0.0137, 0.5341, 0.0111, 0.8452
6, 1.0176, 0.1662, 1.2220, -0.0142, 0.5450, 0.0018, 0.8383
7, 1.1276, 0.2794, 1.2455, -0.0244, 0.5436, 0.0090, 0.8390
8, 1.2035, 0.3066, 1.2630, -0.0243, 0.5410, 0.0188, 0.8404
9, 1.2607, 0.2692, 1.2563, -0.0100, 0.5483, -0.0073, 0.8362
10, 1.3965, 0.1547, 1.2426, -0.0037, 0.5488, -0.0119, 0.8359
11, 1.4318, 0.1216, 1.2257, 0.0035, 0.5609, -0.0129, 0.8278
12, 1.5328, 0.0484, 1.1928, 0.0100, 0.5759, -0.0126, 0.8174
13, 1.6840, -0.0540, 1.2464, 0.0117, 0.5612, -0.0148, 0.8275
14, 1.7516, -0.0723, 1.3214, 0.0032, 0.5457, -0.0169, 0.8378
15, 1.8074, -0.0452, 1.3479, -0.0089, 0.5425, 0.0023, 0.8400
16, 1.9118, 0.0659, 1.3530, -0.0132, 0.5335, 0.0087, 0.8456
17, 1.9356, 0.0909, 1.3528, -0.0145, 0.5397, 0.0062, 0.8417
18, 1.9392, 0.0948, 1.3535, -0.0148, 0.5405, 0.0060, 0.8412
19, 1.9716, 0.1192, 1.3533, -0.0153, 0.5427, 0.0057, 0.8398
20, 2.0421, 0.1738, 1.3546, -0.0171, 0.5477, 0.0048, 0.8365
21, 2.1162, 0.2307, 1.3714, -0.0236, 0.5452, 0.0105, 0.8379
22, 2.1631, 0.2497, 1.3711, -0.0283, 0.5480, 0.0137, 0.8359
23, 2.2180, 0.2577, 1.3920, -0.0249, 0.5452, 0.0172, 0.8378
24, 2.2901, 0.2106, 1.3818, -0.0258, 0.5341, 0.0139, 0.8449
25, 2.3516, 0.1428, 1.3771, -0.0286, 0.5356, 0.0250, 0.8436
26, 2.3594, 0.1351, 1.3754, -0.0287, 0.5373, 0.0276, 0.8425
27, 2.4280, 0.0827, 1.3731, -0.0260, 0.5434, 0.0277, 0.8386
28, 2.5199, 0.0148, 1.3924, -0.0179, 0.5416, 0.0192, 0.8402
29, 2.5937, -0.0096, 1.3993, -0.0126, 0.5437, 0.0107, 0.8391
30, 2.6567, 0.0075, 1.3781, -0.0167, 0.5414, 0.0130, 0.8405
31, 2.7970, 0.0705, 1.3324, -0.0066, 0.5318, -0.0049, 0.8469
32, 2.8335, 0.0877, 1.3400, -0.0081, 0.5385, -0.0044, 0.8425
33, 2.8378, 0.0895, 1.3387, -0.0078, 0.5402, -0.0053, 0.8415
34, 2.8603, 0.0981, 1.3380, -0.0081, 0.5421, -0.0050, 0.8403
35, 2.9657, 0.1377, 1.3265, -0.0093, 0.5575, -0.0054, 0.8301
36, 3.0387, 0.1703, 1.3546, -0.0126, 0.5491, -0.0025, 0.8357
37, 3.1138, 0.1963, 1.3754, -0.0232, 0.5409, 0.0099, 0.8407
38, 3.1828, 0.2185, 1.3925, -0.0469, 0.5472, 0.0477, 0.8343
39, 3.2716, 0.2027, 1.3852, -0.0561, 0.5331, 0.0680, 0.8415
40, 3.3484, 0.1870, 1.3757, -0.0619, 0.5418, 0.0786, 0.8346
41, 3.4724, 0.1510, 1.3991, -0.0545, 0.5429, 0.0700, 0.8351
42, 3.5579, 0.1493, 1.4171, -0.0483, 0.5413, 0.0636, 0.8370
43, 3.6242, 0.1512, 1.3978, -0.0293, 0.5391, 0.0317, 0.8412
44, 3.7567, 0.1739, 1.3354, -0.0123, 0.5293, 0.0027, 0.8483
45, 3.7971, 0.1883, 1.3389, -0.0164, 0.5370, 0.0090, 0.8434
46, 3.9011, 0.2223, 1.3352, -0.0165, 0.5474, 0.0083, 0.8366
47, 4.0045, 0.2562, 1.3555, -0.0187, 0.5444, 0.0100, 0.8386
48, 4.0546, 0.2664, 1.3717, -0.0221, 0.5394, 0.0146, 0.8417
49, 4.1351, 0.2415, 1.3814, -0.0062, 0.5511, -0.0067, 0.8344
50, 4.2572, 0.1624, 1.3642, 0.0015, 0.5327, -0.0238, 0.8459
51, 4.4364, 0.0578, 1.3820, 0.0079, 0.5450, -0.0253, 0.8380
52, 4.5390, 0.0230, 1.3989, 0.0154, 0.5426, -0.0310, 0.8393
53, 4.6011, 0.0414, 1.3818, -0.0018, 0.5409, -0.0077, 0.8410
54, 4.7398, 0.1177, 1.3317, -0.0101, 0.5275, 0.0007, 0.8495
55, 4.7838, 0.1414, 1.3379, -0.0135, 0.5366, 0.0038, 0.8437
56, 4.9151, 0.1930, 1.3288, -0.0151, 0.5527, 0.0039, 0.8332
57, 5.0651, 0.2515, 1.3690, -0.0280, 0.5386, 0.0176, 0.8419
58, 5.1355, 0.2522, 1.3799, -0.0272, 0.5436, 0.0197, 0.8387
59, 5.2270, 0.1901, 1.3744, -0.0299, 0.5339, 0.0240, 0.8447
60, 5.2611, 0.1623, 1.3728, -0.0306, 0.5395, 0.0309, 0.8409
61, 5.2640, 0.1595, 1.3717, -0.0298, 0.5404, 0.0303, 0.8403
62, 5.2647, 0.1588, 1.3711, -0.0295, 0.5407, 0.0299, 0.8402
